15122,1766,1639
15123,1766,5162
15124,1766,202
15125,1766,5122
15126,1766,5118
15127,1766,5306
15128,1766,5124
15129,1766,2232
15130,1766,3758
15131,1766,5120
15132,1921,608
15133,1921,5129
15134,1921,2266
15135,1921,5264
15136,1921,5263
15137,1921,30
15138,1921,1347
15139,1921,686
15140,1921,586
15141,1921,1498
15142,1767,1382
15143,1767,2938
15144,1767,1863
15145,1767,4328
15146,1767,1306
15147,1767,210
15148,1767,2395
15149,1767,1628
15150,1767,27
15151,1767,3639
15152,1767,5308
15153,1922,3626
15154,1922,2777
15155,1922,4823
15156,1922,4037
15157,1922,1863
15158,1922,128
15159,1922,4731
15160,1922,739
15161,1922,1306
15162,1922,2093
15163,1922,281
15164,1922,3465
15165,1922,2170
15166,1922,3
15167,1922,5308
15168,2077,3141
15169,2077,2049
15170,2077,5268
15171,2077,893
15172,2077,3380
15173,2077,4199
15174,2077,2109
15175,2077,4677
15176,2077,1033
15177,2077,2764
15178,2077,3431
15179,2077,1678
15180,2077,4678
15181,2077,5269
15182,2077,1359
15183,1923,202
15184,1923,3363
15185,1923,5119
15186,1923,5306
15187,1923,610
15188,1923,2205
15189,1923,2232
15190,1923,1979
15191,1768,1639
15192,1768,5162
15193,1768,202
15194,1768,5122
15195,1768,5118
15196,1768,5306
15197,1768,5124
15198,1768,2232
15199,1768,3758
15200,1768,5120
15201,2078,773
15202,2078,2351
15203,2078,3920
15204,2078,3955
15205,2078,3357
15206,2078,2025
15207,2078,4021
15208,1924,3626
15209,1924,2777
15210,1924,4823
15211,1924,4037
15212,1924,1863
15213,1924,128
15214,1924,4816
15215,1924,4731
15216,1924,739
15217,1924,1306
15218,1924,2093
15219,1924,281
15220,1924,3465
15221,1924,2170
15222,1924,3
15223,1924,5308
15224,1770,4329
15225,1770,3391
15226,1770,608
15227,1770,5129
15228,1770,2266
15229,1770,5264
15230,1770,5263
15231,1770,1347
15232,1770,1498
15233,2079,1349
15234,2079,3919
15235,2079,4746
15236,2079,3357
15237,2079,3018
15238,2079,4021
15239,2079,4042
15240,2079,3459
15241,1925,202
15242,1925,3363
15243,1925,5119
15244,1925,5306
15245,1925,610
15246,1925,2205
15247,1925,2232
15248,1925,1979
15249,2080,1652
15250,2080,3902
15251,2080,4937
15252,2080,324
15253,2080,2193
15254,2080,476
15255,2080,242
15256,2080,4199
15257,2080,4656
15258,2080,5163
15259,2080,3934
15260,2080,746
15261,2080,1522
15262,2080,3078
15263,2080,3460
15264,1771,1639
15265,1771,5130
15266,1771,2232
15267,1771,1270
15268,1771,5122
15269,1771,5118
15270,1771,5129
15271,1771,3934
15272,1771,1854
15273,1771,5120
15274,2081,3141
15275,2081,2049
15276,2081,5268
15277,2081,3380
15278,2081,4199
15279,2081,2109
15280,2081,4677
15281,2081,1033
15282,2081,2764
15283,2081,3431
15284,2081,1678
15285,2081,4678
15286,2081,5269
15287,2081,1359
15288,1772,1639
15289,1772,5130
15290,1772,4809
15291,1772,1270
15292,1772,5122
15293,1772,5118
15294,1772,5129
15295,1772,3934
15296,1772,1854
15297,1772,5120
15298,2082,4399
15299,2082,4053
15300,2082,773
15301,2082,3466
15302,2082,893
15303,2082,4663
15304,2082,5306
15305,2082,1634
15306,2082,1262
15307,2082,623
15308,2082,518
15309,2082,2403
15310,2082,3018
15311,2082,5105
15312,2082,1555
15313,1928,1341
15314,1928,2784
15315,1928,4037
15316,1928,4823
15317,1928,3639
15318,1928,2733
15319,1928,328
15320,1928,77
15321,1928,1963
15322,1928,2093
15323,1928,2298
15324,1774,5265
15325,1774,686
15326,1774,3739
15327,1774,12
15328,1774,2247
15329,1774,3065
15330,1774,5266
15331,1929,5143
15332,1929,183
15333,1929,12
15334,1929,2247
